Date,EOG,COP
10/16/2012,53.990765,46.415974
10/17/2012,54.702812,46.818741
10/18/2012,54.470200,46.939568
10/19/2012,53.672737,46.279026
10/22/2012,53.217045,45.948746
10/23/2012,52.291389,45.159298
10/24/2012,52.547729,45.070698
10/25/2012,53.364189,46.045403
10/26/2012,54.156910,46.166237
10/31/2012,55.296158,46.601234
11/1/2012,55.481281,47.060410
11/2/2012,54.683815,46.440132
11/5/2012,55.448048,46.343472
11/6/2012,57.902195,46.899300
11/7/2012,56.962299,45.731239
11/8/2012,54.954388,44.998188
11/9/2012,54.361031,44.845142
11/12/2012,54.474960,44.820969
11/13/2012,54.721790,44.587357
11/14/2012,53.810394,44.120129
11/15/2012,55.139526,43.975143
11/16/2012,55.381599,44.329563
11/19/2012,56.302509,44.893471
11/20/2012,55.728127,44.812912
11/21/2012,56.079399,45.151245
11/23/2012,56.482883,45.650681
11/26/2012,55.372120,45.755409
11/27/2012,54.626854,45.255970
11/28/2012,55.229698,45.964859
11/29/2012,55.842045,45.900406
11/30/2012,55.832554,45.868179
12/3/2012,55.652176,46.053467
12/4/2012,55.623688,45.787632
12/5/2012,56.354717,46.061520
12/6/2012,56.183826,46.198463
12/7/2012,55.704391,46.673729
12/10/2012,55.884777,46.625408
12/11/2012,56.359470,46.818741
12/12/2012,57.313576,46.883190
12/13/2012,56.255028,46.625408
12/14/2012,56.482883,46.472347
12/17/2012,57.422760,46.947628
12/18/2012,58.823071,47.769287
12/19/2012,58.125290,47.688736
12/20/2012,59.036678,47.753185
12/21/2012,58.656929,47.213463
12/24/2012,58.277187,47.076519
12/26/2012,57.698078,46.681801
12/27/2012,57.736046,46.641521
12/28/2012,56.302509,45.972908
12/31/2012,57.337318,46.714005
1/2/2013,58.709145,47.696789
1/3/2013,58.946484,47.664555
1/4/2013,59.715481,48.196239
1/7/2013,59.805668,47.664555
1/8/2013,58.927505,47.020130
1/9/2013,59.160110,46.923470
1/10/2013,59.857895,47.124851
1/11/2013,59.634777,46.939568
1/14/2013,59.174339,47.100689
1/15/2013,59.464294,47.551800
1/16/2013,59.592636,47.430965
1/17/2013,59.906364,47.640404
1/18/2013,60.267616,47.745125
1/22/2013,60.129765,48.317070
1/23/2013,59.297932,47.970673
1/24/2013,59.412010,48.663456
1/25/2013,59.545109,49.187069
1/28/2013,59.036484,48.937344
1/29/2013,60.338905,49.670399
1/30/2013,60.044209,49.211235
1/31/2013,59.407253,46.722076
2/1/2013,61.127964,47.382629
2/4/2013,60.505276,46.746239
2/5/2013,61.232544,46.496517
2/6/2013,61.636578,46.391800
2/7/2013,61.684109,46.424011
2/8/2013,63.352535,46.617340
2/11/2013,63.381039,46.391800
2/12/2013,63.742313,46.923470
2/13/2013,63.504642,47.213463
2/14/2013,63.376286,47.189022
2/15/2013,61.408417,46.455757
2/19/2013,62.458897,47.743034
2/20/2013,60.552803,46.985336
2/21/2013,58.960442,47.343811
2/22/2013,59.578362,47.417145
2/25/2013,57.881432,46.349850
2/26/2013,58.703770,47.050514
2/27/2013,60.329403,47.286789
2/28/2013,59.754257,47.213463
3/1/2013,58.466106,47.482323
3/4/2013,57.890942,46.944607
3/5/2013,59.274158,46.977192
3/6/2013,59.701965,47.254200
3/7/2013,60.633617,47.140141
3/8/2013,61.165989,47.571945
3/11/2013,61.156490,47.612675
3/12/2013,61.831470,47.848942
3/13/2013,61.736401,47.889679
3/14/2013,62.663292,48.492592
3/15/2013,61.993080,48.125950
3/18/2013,61.284824,48.191139
3/19/2013,60.495766,48.321484
3/20/2013,60.006176,49.242126
3/21/2013,58.893902,49.649494
3/22/2013,59.407253,49.625057
3/25/2013,58.903393,49.054745
3/26/2013,61.270561,49.242126
3/27/2013,60.937836,49.193237
3/28/2013,60.876038,48.965126
4/1/2013,61.085182,49.274719
4/2/2013,61.341869,48.916245
4/3/2013,59.939636,48.297047
4/4/2013,58.399551,47.971161
4/5/2013,59.297932,47.694141
4/8/2013,60.315147,48.321484
4/9/2013,60.961597,48.704403
4/10/2013,61.137466,49.087326
4/11/2013,60.966347,49.014004
4/12/2013,59.089840,48.362221
4/15/2013,55.310146,46.635002
4/16/2013,56.719193,46.797955
4/17/2013,54.657982,46.284679
4/18/2013,54.891243,46.700184
4/19/2013,54.001057,46.838688
4/22/2013,55.410110,46.757210
4/23/2013,55.695724,47.074951
4/24/2013,57.090508,47.466011
4/25/2013,58.009243,47.555649
4/26/2013,56.704922,47.995605
4/29/2013,58.042568,48.802181
4/30/2013,57.676025,49.250282
5/1/2013,56.566860,48.891796
5/2/2013,56.966740,49.665783
5/3/2013,59.018429,50.447933
5/6/2013,59.999058,50.692345
5/7/2013,64.592743,51.197472
5/8/2013,65.644806,50.993786
5/9/2013,64.778427,50.985653
5/10/2013,63.588318,50.700497
5/13/2013,63.626434,50.513111
5/14/2013,65.059288,51.376717
5/15/2013,64.116722,50.855282
5/16/2013,63.416950,50.863441
5/17/2013,64.383308,51.580383
5/20/2013,64.554688,52.166996
5/21/2013,63.921547,52.395126
5/22/2013,62.326843,51.646034
5/23/2013,62.550583,51.687195
5/24/2013,62.279236,51.473167
5/28/2013,62.417286,51.728344
5/29/2013,63.231316,51.678963
5/30/2013,63.164654,51.267376
5/31/2013,61.455723,50.493591
6/3/2013,62.717209,51.110977
6/4/2013,62.912380,50.773472
6/5/2013,61.179619,50.724087
6/6/2013,62.188828,50.962795
6/7/2013,63.159920,51.300301
6/10/2013,62.655304,51.201511
6/11/2013,61.460468,50.962795
6/12/2013,61.708015,50.114925
6/13/2013,63.469326,50.748783
6/14/2013,62.712456,50.238403
6/17/2013,63.469326,50.987503
6/18/2013,64.273827,51.119205
6/19/2013,64.545166,50.798164
6/20/2013,62.355408,49.621025
6/21/2013,62.074551,49.686882
6/24/2013,60.651226,48.855465
6/25/2013,61.955544,49.250595
6/26/2013,62.764797,49.662186
6/27/2013,62.364944,49.670425
6/28/2013,62.683861,49.802120
7/1/2013,64.411865,50.403034
7/2/2013,65.635262,50.864021
7/3/2013,65.778091,50.905170
7/5/2013,66.834869,51.292068
7/8/2013,66.530220,51.892982
7/9/2013,67.701241,52.271652
7/10/2013,67.725067,52.296341
7/11/2013,68.334389,52.946659
7/12/2013,68.886589,53.374710
7/15/2013,68.418488,53.720440
7/16/2013,68.904686,53.465240
7/17/2013,69.510048,53.967388
7/18/2013,70.067711,54.325130
7/19/2013,70.863739,54.907475
7/22/2013,71.254593,54.766045
7/23/2013,70.849411,55.007301
7/24/2013,68.671120,54.566383
7/25/2013,70.244057,54.666199
7/26/2013,69.467148,54.674534
7/29/2013,68.976196,54.225288
7/30/2013,68.685448,53.934116
7/31/2013,69.347984,53.959076
8/1/2013,72.484337,54.982349
8/2/2013,72.941910,55.930748
8/5/2013,73.490074,55.897465
8/6/2013,73.032509,55.814270
8/7/2013,74.462425,55.340076
8/8/2013,75.587341,55.814270
8/9/2013,75.711258,55.597980
8/12/2013,75.673119,54.990658
8/13/2013,75.425270,55.656212
8/14/2013,74.548233,55.872528
8/15/2013,74.638802,56.255207
8/16/2013,74.114479,56.055542
8/19/2013,72.779869,54.766045
8/20/2013,73.699791,54.890846
8/21/2013,72.374687,54.508133
8/22/2013,73.594925,55.032257
8/23/2013,74.653084,55.365040
8/26/2013,74.886642,55.165371
8/27/2013,74.495811,54.924103
8/28/2013,76.006783,55.548054
8/29/2013,74.877129,55.040585
8/30/2013,74.858047,55.157055
9/3/2013,75.515823,55.564697
9/4/2013,76.516800,56.288490
9/5/2013,76.945763,56.379990
9/6/2013,77.084023,56.737720
9/9/2013,78.003929,57.295124
9/10/2013,77.932449,57.120407
9/11/2013,79.672234,57.536373
9/12/2013,80.072632,57.220242
9/13/2013,79.333809,57.561337
9/16/2013,79.028740,57.686119
9/17/2013,79.967758,57.985603
9/18/2013,81.883904,58.701080
9/19/2013,81.378654,58.934021
9/20/2013,80.492065,59.067131
9/23/2013,80.487305,58.717716
9/24/2013,82.026901,58.567974
9/25/2013,81.688461,58.501415
9/26/2013,82.026901,58.426556
9/27/2013,81.378654,58.493107
9/30/2013,80.687492,57.827564
10/1/2013,82.055496,58.268471
10/2/2013,82.155602,58.534695
10/3/2013,81.888657,58.376640
10/4/2013,83.218521,59.042183
10/7/2013,82.379608,58.967300
10/8/2013,81.726616,58.376640
10/9/2013,81.755203,58.043846
10/10/2013,83.347214,59.724327
10/11/2013,85.315788,60.253689
10/14/2013,86.302452,60.463745
10/15/2013,85.872078,60.404922
10/16/2013,86.979042,61.303982
10/17/2013,86.549614,61.682110
10/18/2013,87.694771,61.698910
10/21/2013,87.947639,61.379620
10/22/2013,88.343674,61.556080
10/23/2013,85.142029,60.825054
10/24/2013,86.568695,61.665298
10/25/2013,87.527740,62.228249
10/28/2013,87.041077,62.085426
10/29/2013,88.310280,62.463535
10/30/2013,86.043839,61.547657
10/31/2013,85.122948,61.614895
11/1/2013,85.399673,61.413208
11/4/2013,87.537300,61.614895
11/5/2013,85.757523,60.976295
11/6/2013,84.283157,62.093811
11/7/2013,81.868820,60.925884
11/8/2013,81.572960,61.917351
11/11/2013,81.806786,61.808136
11/12/2013,79.731186,61.186367
11/13/2013,80.857254,61.623272
11/14/2013,80.957451,61.908978
11/15/2013,81.773361,61.589676
11/18/2013,80.408745,60.757824
11/19/2013,80.108131,60.715816
11/20/2013,79.645309,60.707428
11/21/2013,80.785698,61.623272
11/22/2013,81.186462,62.194637
11/25/2013,80.728409,61.177956
11/26/2013,80.733177,61.278793
11/27/2013,79.411507,61.018303
11/29/2013,78.729179,61.169556
12/2/2013,78.729179,60.976295
12/3/2013,78.958214,60.892284
12/4/2013,79.745499,60.001610
12/5/2013,78.910507,59.522682
12/6/2013,76.362526,59.463860
12/9/2013,75.455948,59.186607
12/10/2013,76.014191,59.077358
12/11/2013,74.558914,58.069050
12/12/2013,75.560928,58.379948
12/13/2013,75.875854,58.337952
12/16/2013,76.219383,58.640404
12/17/2013,76.176445,58.027054
12/18/2013,77.297737,58.312733
12/19/2013,78.886627,58.043854
12/20/2013,80.408745,58.716038
12/23/2013,79.979294,58.447174
12/24/2013,80.284668,58.758068
12/26/2013,80.170166,58.976524
12/27/2013,80.714111,59.144554
12/30/2013,79.850464,58.741268
12/31/2013,80.084267,59.363037
1/2/2014,78.738724,58.632027
1/3/2014,78.519241,58.783291
1/6/2014,78.261574,59.035351
1/7/2014,79.611916,59.127766
1/8/2014,79.578484,58.556408
1/9/2014,79.683479,58.363136
1/10/2014,79.592812,57.867416
1/13/2014,77.994392,56.917931
1/14/2014,80.446915,57.405281
1/15/2014,81.377419,57.203609
1/16/2014,81.253235,56.993553
1/17/2014,80.708694,56.724682
1/21/2014,80.837654,57.354858
1/22/2014,82.027077,57.447292
1/23/2014,80.808998,57.010349
1/24/2014,79.070229,55.934845
1/27/2014,77.431801,55.338280
1/28/2014,79.877525,55.632359
1/29/2014,78.649864,55.304668
1/30/2014,79.356827,55.245842
1/31/2014,78.931709,54.573654
